[05-Nov-2014 02:50:06 America/Los_Angeles] PHP Fatal error:  Failure in PHP_MINIT_FUNCTION(Wincache): 212 in Unknown on line 0
[13-Nov-2014 18:38:37 America/Los_Angeles] PHP Fatal error:  Failure in PHP_MINIT_FUNCTION(Wincache): 212 in Unknown on line 0
[13-Nov-2014 19:09:51 America/Los_Angeles] PHP Warning:  require_once(D:\home\site\wwwroot/extensions/CharInsert/CharInsert.php): failed to open stream: No such file or directory in D:\home\site\wwwroot\LocalSettings.php on line 130
[13-Nov-2014 19:09:51 America/Los_Angeles] PHP Fatal error:  require_once(): Failed opening required 'D:\home\site\wwwroot/extensions/CharInsert/CharInsert.php' (include_path='D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Mail_Mime/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Mail_mimeDecode/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Net_URL2/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/XML_Util/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Console_Getopt/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Structures_Graph/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Archive_Tar/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/PEAR/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/HTTP_Request2/;.;C:\php\pear') in D:\home\site\wwwroot\LocalSettings.php on line 130
[13-Nov-2014 19:09:55 America/Los_Angeles] PHP Warning:  require_once(D:\home\site\wwwroot/extensions/CharInsert/CharInsert.php): failed to open stream: No such file or directory in D:\home\site\wwwroot\LocalSettings.php on line 130
[13-Nov-2014 19:09:55 America/Los_Angeles] PHP Fatal error:  require_once(): Failed opening required 'D:\home\site\wwwroot/extensions/CharInsert/CharInsert.php' (include_path='D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Mail_Mime/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Mail_mimeDecode/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Net_URL2/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/XML_Util/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Console_Getopt/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Structures_Graph/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Archive_Tar/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/PEAR/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/HTTP_Request2/;.;C:\php\pear') in D:\home\site\wwwroot\LocalSettings.php on line 130
[13-Nov-2014 19:09:59 America/Los_Angeles] PHP Warning:  require_once(D:\home\site\wwwroot/extensions/CharInsert/CharInsert.php): failed to open stream: No such file or directory in D:\home\site\wwwroot\LocalSettings.php on line 130
[13-Nov-2014 19:09:59 America/Los_Angeles] PHP Fatal error:  require_once(): Failed opening required 'D:\home\site\wwwroot/extensions/CharInsert/CharInsert.php' (include_path='D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Mail_Mime/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Mail_mimeDecode/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Net_URL2/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/XML_Util/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Console_Getopt/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Structures_Graph/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Archive_Tar/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/PEAR/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/HTTP_Request2/;.;C:\php\pear') in D:\home\site\wwwroot\LocalSettings.php on line 130
[13-Nov-2014 19:10:00 America/Los_Angeles] PHP Warning:  require_once(D:\home\site\wwwroot/extensions/CharInsert/CharInsert.php): failed to open stream: No such file or directory in D:\home\site\wwwroot\LocalSettings.php on line 130
[13-Nov-2014 19:10:00 America/Los_Angeles] PHP Fatal error:  require_once(): Failed opening required 'D:\home\site\wwwroot/extensions/CharInsert/CharInsert.php' (include_path='D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Mail_Mime/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Mail_mimeDecode/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Net_URL2/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/XML_Util/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Console_Getopt/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Structures_Graph/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/Archive_Tar/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/PEAR/;D:\home\site\wwwroot\extensions\WindowsAzureSDK\vendor/pear-pear.php.net/HTTP_Request2/;.;C:\php\pear') in D:\home\site\wwwroot\LocalSettings.php on line 130
[13-Nov-2014 19:10:23 America/Los_Angeles] PHP Warning:  require_once(D:\home\site\wwwroot/extensions/CharInsert/CharInsert.php): failed to open stream: No such file or directory in D:\home\site\wwwroot\LocalSettings.php on line 130
